

103.135.248.96:443 weight=30735 priority=4265
20.187.182.254:4201 weight=18461 priority=16539
52.175.9.106:50101 weight=12692 priority=22308
52.175.12.9:50101 weight=11133 priority=23867
52.229.202.197:15438 weight=14640 priority=20360
52.175.12.211:50101 weight=13019 priority=21981
52.175.15.187:50101 weight=11958 priority=23042
23.102.230.194:10002 weight=18891 priority=16109
52.175.9.77:50101 weight=12640 priority=22360
52.175.9.203:50101 weight=12948 priority=22052
18.167.251.29:21395 weight=21050 priority=13950
18.167.20.205:443 weight=36566 priority=1
16.162.122.217:51017 weight=21558 priority=13442
18.167.200.162:53443 weight=16443 priority=18557
