
18.181.252.44:9002 weight=26106 priority=8894
35.78.194.152:34237 weight=15328 priority=19672
35.78.201.158:34237 weight=25219 priority=9781
18.183.137.85:2083 weight=28613 priority=6387
52.194.139.128:22889 weight=21296 priority=13704
52.195.1.122:34237 weight=24037 priority=10963
13.115.229.56:34237 weight=23570 priority=11430
18.183.227.170:34237 weight=23621 priority=11379
54.95.25.207:10018 weight=21466 priority=13534
54.92.9.4:15118 weight=29266 priority=5734
13.114.136.62:20318 weight=14610 priority=20390
43.206.229.233:443 weight=13945 priority=21055
3.112.151.18:14425 weight=21105 priority=13895
18.177.2.54:443 weight=18945 priority=16055
13.112.48.36:15093 weight=19987 priority=15013
54.95.181.190:18446 weight=31112 priority=3888
35.78.247.18:34237 weight=28873 priority=6127
18.183.175.148:34237 weight=14625 priority=20375
54.199.159.148:34237 weight=10255 priority=24745
3.112.211.187:34237 weight=11423 priority=23577
54.248.7.15:21431 weight=33577 priority=1423
54.168.228.33:34237 weight=20973 priority=14027
52.195.208.225:23444 weight=13943 priority=21057
54.64.236.110:34237 weight=17052 priority=17948
52.194.218.111:34237 weight=25562 priority=9438
52.193.4.149:443 weight=30221 priority=4779
54.199.17.108:42462 weight=31025 priority=3975
20.222.112.46:16102 weight=22160 priority=12840
20.48.86.120:30443 weight=18671 priority=16329
192.243.125.209:4443 weight=27205 priority=7795
20.78.74.223:55279 weight=25371 priority=9629
20.194.231.144:27550 weight=20038 priority=14962
20.27.141.102:3678 weight=21884 priority=13116
20.210.209.182:34237 weight=21373 priority=13627
20.243.251.236:56209 weight=18162 priority=16838
20.27.111.153:443 weight=18614 priority=16386
4.241.104.28:46813 weight=16818 priority=18182
74.226.190.244:443 weight=19697 priority=15303
43.206.146.73:8443 weight=30329 priority=4671
54.238.6.36:443 weight=31498 priority=3502
52.195.161.173:23527 weight=12539 priority=22461
54.250.254.21:8443 weight=22920 priority=12080
43.207.86.44:443 weight=22946 priority=12054
45.78.50.89:50016 weight=31185 priority=3815
212.50.246.211:443 weight=30890 priority=4110
212.50.246.141:17437 weight=19309 priority=15691
45.78.56.187:8443 weight=29024 priority=5976
212.50.253.107:443 weight=28025 priority=6975
212.50.233.123:18444 weight=22465 priority=12535
23.106.131.230:443 weight=24845 priority=10155
149.104.35.112:5010 weight=11561 priority=23439
149.104.35.4:5010 weight=11973 priority=23027
149.104.35.99:5010 weight=10125 priority=24875
149.104.35.71:5010 weight=10453 priority=24547
149.104.35.116:5010 weight=10676 priority=24324
149.104.35.119:5010 weight=11036 priority=23964
149.104.35.57:5010 weight=11337 priority=23663
149.104.35.114:5010 weight=11548 priority=23452
149.104.35.72:5010 weight=11753 priority=23247
149.104.35.77:5010 weight=11956 priority=23044
149.104.35.69:5010 weight=11973 priority=23027
149.104.35.6:5010 weight=11974 priority=23026
149.104.35.105:5010 weight=11975 priority=23025
149.104.35.120:5010 weight=10258 priority=24742
154.197.92.71:5010 weight=10387 priority=24613
149.104.35.84:5010 weight=10648 priority=24352
149.104.35.122:5010 weight=10547 priority=24453
149.104.35.92:5010 weight=10997 priority=24003
149.104.35.123:5010 weight=10637 priority=24363
149.104.35.117:5010 weight=11337 priority=23663
149.104.35.108:5010 weight=11649 priority=23351
149.104.35.73:5010 weight=11759 priority=23241
149.104.35.50:5010 weight=11976 priority=23024
149.104.35.115:5010 weight=11974 priority=23026
149.104.35.109:5010 weight=11975 priority=23025
149.104.35.81:5010 weight=11974 priority=23026
149.104.35.101:5010 weight=11974 priority=23026
149.104.35.90:5010 weight=10054 priority=24946
149.104.35.59:5010 weight=10218 priority=24782
149.104.35.80:5010 weight=10374 priority=24626
149.104.35.61:5010 weight=10739 priority=24261
149.104.35.86:5010 weight=10760 priority=24240
149.104.35.76:5010 weight=11106 priority=23894
149.104.35.103:5010 weight=11269 priority=23731
149.104.35.3:5010 weight=11638 priority=23362
149.104.35.98:5010 weight=11788 priority=23212
149.104.35.67:5010 weight=11976 priority=23024
