


20.243.104.80:443 weight=24496 priority=10504
13.229.119.35:179 weight=21289 priority=13711
52.221.254.206:2053 weight=22768 priority=12232
13.212.78.174:59376 weight=33224 priority=1776
13.212.207.98:65321 weight=29083 priority=5917
13.250.31.78:50593 weight=24746 priority=10254
18.141.140.120:30011 weight=22312 priority=12688
18.141.114.130:49381 weight=24475 priority=10525
13.229.72.179:20223 weight=29849 priority=5151
18.139.15.76:36897 weight=29239 priority=5761
52.221.238.38:21941 weight=25376 priority=9624
13.250.62.225:20613 weight=13199 priority=21801
18.140.5.21:993 weight=13920 priority=21080
52.221.249.146:39772 weight=25600 priority=9400

